127.0.0.1, 2016-05-13 21:26:07, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 304, 0.000736
127.0.0.1, 2016-05-13 21:26:07, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 304, 0.000564
127.0.0.1, 2016-05-13 21:26:07, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 304, 0.000536
127.0.0.1, 2016-05-13 21:26:07, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 304, 0.000550
127.0.0.1, 2016-05-13 21:26:07, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.000581
127.0.0.1, 2016-05-13 21:26:07, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.000689
127.0.0.1, 2016-05-13 21:26:07, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000564
127.0.0.1, 2016-05-13 21:26:07, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.000547
127.0.0.1, 2016-05-13 21:26:07, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.000549
127.0.0.1, 2016-05-13 21:26:07, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 304, 0.000509
127.0.0.1, 2016-05-13 21:26:07, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000965
127.0.0.1, 2016-05-13 21:26:07, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000534
127.0.0.1, 2016-05-13 21:26:07, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 304, 0.000550
127.0.0.1, 2016-05-13 21:26:07, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 304, 0.000546
127.0.0.1, 2016-05-13 21:26:07, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 304, 0.000579
127.0.0.1, 2016-05-13 21:26:07, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 304, 0.000526
127.0.0.1, 2016-05-13 21:26:07, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 304, 0.000801
127.0.0.1, 2016-05-13 21:26:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000382
127.0.0.1, 2016-05-13 21:26:59, GET, /admin/default/site, HTTP/1.1, 200, 0.102442
127.0.0.1, 2016-05-13 21:27:00, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 304, 0.000655
127.0.0.1, 2016-05-13 21:27:00, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 304, 0.000786
127.0.0.1, 2016-05-13 21:27:00, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 304, 0.000579
127.0.0.1, 2016-05-13 21:27:00, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.001920
127.0.0.1, 2016-05-13 21:27:00, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 304, 0.000564
127.0.0.1, 2016-05-13 21:27:00, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.000592
127.0.0.1, 2016-05-13 21:27:00, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000643
127.0.0.1, 2016-05-13 21:27:00, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.000511
127.0.0.1, 2016-05-13 21:27:00, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.000566
127.0.0.1, 2016-05-13 21:27:00, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 304, 0.000835
127.0.0.1, 2016-05-13 21:27:00, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000557
127.0.0.1, 2016-05-13 21:27:00, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000566
127.0.0.1, 2016-05-13 21:27:00, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 304, 0.000620
127.0.0.1, 2016-05-13 21:27:00, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 304, 0.000608
127.0.0.1, 2016-05-13 21:27:00, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 304, 0.000564
127.0.0.1, 2016-05-13 21:27:00, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 304, 0.000602
127.0.0.1, 2016-05-13 21:27:00, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 304, 0.000385
127.0.0.1, 2016-05-13 21:27:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000519
127.0.0.1, 2016-05-13 21:27:14, GET, /app/default/index, HTTP/1.1, 200, 0.208926
127.0.0.1, 2016-05-13 21:27:15, GET, /app/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001167
127.0.0.1, 2016-05-13 21:27:15, GET, /app/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000724
127.0.0.1, 2016-05-13 21:27:15, GET, /app/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001039
127.0.0.1, 2016-05-13 21:27:15, GET, /app/static/js/jquery.js, HTTP/1.1, 200, 0.000784
127.0.0.1, 2016-05-13 21:27:15, GET, /app/static/css/calendar.css, HTTP/1.1, 200, 0.001392
127.0.0.1, 2016-05-13 21:27:15, GET, /app/static/js/calendar.js, HTTP/1.1, 200, 0.000853
127.0.0.1, 2016-05-13 21:27:15, GET, /app/static/js/web2py.js, HTTP/1.1, 200, 0.000562
127.0.0.1, 2016-05-13 21:27:15, GET, /app/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000771
127.0.0.1, 2016-05-13 21:27:15, GET, /app/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001003
127.0.0.1, 2016-05-13 21:27:15, GET, /app/static/js/share.js, HTTP/1.1, 200, 0.000768
127.0.0.1, 2016-05-13 21:27:15, GET, /app/static/images/background.jpg, HTTP/1.1, 200, 0.000616
127.0.0.1, 2016-05-13 21:27:15, GET, /app/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000667
127.0.0.1, 2016-05-13 21:27:15, GET, /app/static/images/twitter.png, HTTP/1.1, 200, 0.000703
127.0.0.1, 2016-05-13 21:27:15, GET, /app/static/images/facebook.png, HTTP/1.1, 200, 0.000705
127.0.0.1, 2016-05-13 21:27:15, GET, /app/static/images/gplus-32.png, HTTP/1.1, 200, 0.000495
127.0.0.1, 2016-05-13 21:27:16, GET, /app/static/images/favicon.ico, HTTP/1.1, 200, 0.000735
127.0.0.1, 2016-05-13 21:28:39, GET, /app/default/index, HTTP/1.1, 200, 0.086328
127.0.0.1, 2016-05-13 21:28:39, GET, /app/default/semantic-ui/semantic.min.css, HTTP/1.1, 404, 0.070780
127.0.0.1, 2016-05-13 21:28:39, GET, /app/default/jquery/jquery-2.2.3.min.js, HTTP/1.1, 404, 0.058629
127.0.0.1, 2016-05-13 21:28:39, GET, /app/default/semantic-ui/semantic.min.js, HTTP/1.1, 404, 0.051213
127.0.0.1, 2016-05-13 21:28:40, GET, /app/default/js/script.js, HTTP/1.1, 404, 0.044398
127.0.0.1, 2016-05-13 21:28:40, GET, /app/default/images/card-image.jpg, HTTP/1.1, 404, 0.039058
127.0.0.1, 2016-05-13 21:28:40, GET, /favicon.ico, HTTP/1.1, 400, 0.008269
127.0.0.1, 2016-05-13 21:30:59, GET, /app/default/index, HTTP/1.1, 200, 0.069941
127.0.0.1, 2016-05-13 21:31:00, GET, /app/default/semantic-ui/semantic.min.css, HTTP/1.1, 404, 0.069011
127.0.0.1, 2016-05-13 21:31:00, GET, /app/default/jquery/jquery-2.2.3.min.js, HTTP/1.1, 404, 0.063503
127.0.0.1, 2016-05-13 21:31:00, GET, /app/default/semantic-ui/semantic.min.js, HTTP/1.1, 404, 0.093257
127.0.0.1, 2016-05-13 21:31:00, GET, /app/default/js/script.js, HTTP/1.1, 404, 0.037963
127.0.0.1, 2016-05-13 21:31:00, GET, /app/default/images/card-image.jpg, HTTP/1.1, 404, 0.042578
127.0.0.1, 2016-05-13 21:31:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000373
127.0.0.1, 2016-05-13 21:36:53, GET, /app/default/index, HTTP/1.1, 200, 0.061606
127.0.0.1, 2016-05-13 21:36:53, GET, /app/static/semantic-ui/semantic.min.css, HTTP/1.1, 200, 0.003204
127.0.0.1, 2016-05-13 21:36:53, GET, /app/default/jquery/jquery-2.2.3.min.js, HTTP/1.1, 404, 0.049650
127.0.0.1, 2016-05-13 21:36:53, GET, /app/default/semantic-ui/semantic.min.js, HTTP/1.1, 404, 0.052966
127.0.0.1, 2016-05-13 21:36:53, GET, /app/default/js/script.js, HTTP/1.1, 404, 0.026873
127.0.0.1, 2016-05-13 21:36:53, GET, /app/default/images/card-image.jpg, HTTP/1.1, 404, 0.016299
127.0.0.1, 2016-05-13 21:36:55, GET, /app/default/images/card-image.jpg, HTTP/1.1, 404, 0.018997
127.0.0.1, 2016-05-13 21:36:55, GET, /app/static/semantic-ui/themes/default/assets/fonts/icons.woff2, HTTP/1.1, 200, 0.000680
127.0.0.1, 2016-05-13 21:36:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000399
127.0.0.1, 2016-05-13 21:39:38, GET, /app/default/index, HTTP/1.1, 200, 0.053967
127.0.0.1, 2016-05-13 21:39:38, GET, /app/static/semantic-ui/semantic.min.css, HTTP/1.1, 304, 0.000818
127.0.0.1, 2016-05-13 21:39:38, GET, /app/static/jquery/jquery-2.2.3.min.js, HTTP/1.1, 200, 0.000960
127.0.0.1, 2016-05-13 21:39:38, GET, /app/static/semantic-ui/semantic.min.js, HTTP/1.1, 200, 0.001473
127.0.0.1, 2016-05-13 21:39:38, GET, /app/default/js/script.js, HTTP/1.1, 404, 0.022481
127.0.0.1, 2016-05-13 21:39:38, GET, /app/default/images/card-image.jpg, HTTP/1.1, 404, 0.023418
